Pid,Shoe name,isNew,Gender,category,isBestSeller,isMemberExclusive,isSustainable,inStock,numColors,Color 1,Color 2,Color 3,Color 4,Price,Expensive
1010047768,Air Max 90,False,Men,Shoes,False,False,False,True,4,White,Anthracite,Pure Platinum,Spring Green,130,True
1012255032,Air Max 97,True,Men,Shoes,True,False,False,True,4,Medium Olive,Sequoia,Black,Light Silver,175,True
11598626,Air Max 97,False,Men,Shoes,True,False,False,True,3,White,Black,Wolf Grey,NaN,175,True
12626570,Air Max 97,False,Men,Shoes,True,False,False,True,3,Black,Anthracite,White,NaN,175,True
14289456,Air Max 97,False,Men,Shoes,False,False,False,True,4,Pink Gaze,White,Black,Hyper Pink,185,True
1010047166,Air Max 97,False,Men,Shoes,False,False,False,True,4,Pure Platinum,Black,White,Volt,175,True
11598625,Air Max 97,False,Men,Shoes,True,False,False,True,2,Black,White,NaN,NaN,175,True
14091744,Dunk Low Retro,False,Men,Shoes,False,False,False,True,3,White,Summit White,Black,NaN,110,False
1012328976,Dunk Low Retro,False,Men,Shoes,False,False,False,True,2,White,Picante Red,NaN,NaN,110,False
14076638,Air Jordan Legacy 312 Low,False,Men,Shoes,False,False,False,True,4,White,Black,Wolf Grey,Fire Red,145,True
13942639,Air Jordan Legacy 312 Low,False,Men,Shoes,False,False,False,True,4,Black,Valor Blue,University Red,Wolf Grey,145,True
1012356683,Air Jordan 7 Retro,True,Men,Shoes,True,False,False,True,4,Black,Light Graphite,White,Chambray,200,True
1012433482,LeBron NXXT Gen,False,Basketball Shoes,Basketball Shoes,True,False,False,True,4,Blue Tint,Guava Ice,Medium Olive,Teal Nebula,160,True
1010016239,LeBron NXXT Gen,False,Basketball Shoes,Basketball Shoes,True,False,False,True,4,Ghost Green,Space Purple,Black,Racer Blue,160,True
1005446292,LeBron NXXT Gen,False,Basketball Shoes,Basketball Shoes,True,False,False,True,4,Black,Black,University Red,White,160,True
1012430061,LeBron NXXT Gen,False,Basketball Shoes,Basketball Shoes,True,False,False,True,3,Black,Medium Soft Pink,White,NaN,160,True
